HOG	OG	Gene Tree Parent Clade	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed
N0.HOG0000416	OG0000324	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig02740, Siderastrea_Mexico_Barshis-Radice_Host_contig04925, Siderastrea_Mexico_Barshis-Radice_Host_contig04409, Siderastrea_Mexico_Barshis-Radice_Host_contig10736	isotig16003_Past
N0.HOG0000417	OG0000325	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig07270, Siderastrea_Mexico_Barshis-Radice_Host_contig10345, Siderastrea_Mexico_Barshis-Radice_Host_contig04211, Siderastrea_Mexico_Barshis-Radice_Host_contig14913	isotig28023_Past
N0.HOG0000418	OG0000326	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13725, Siderastrea_Mexico_Barshis-Radice_Host_contig14047, Siderastrea_Mexico_Barshis-Radice_Host_contig18958, Siderastrea_Mexico_Barshis-Radice_Host_contig06549	isotig07237_Past
N0.HOG0000419	OG0000327	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13584, Siderastrea_Mexico_Barshis-Radice_Host_contig06052, Siderastrea_Mexico_Barshis-Radice_Host_contig13877, Siderastrea_Mexico_Barshis-Radice_Host_contig13910, Siderastrea_Mexico_Barshis-Radice_Host_contig09178	
N0.HOG0000420	OG0000328	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig12208, Siderastrea_Mexico_Barshis-Radice_Host_contig13583, Siderastrea_Mexico_Barshis-Radice_Host_contig00385, Siderastrea_Mexico_Barshis-Radice_Host_contig14508, Siderastrea_Mexico_Barshis-Radice_Host_contig10352	
N0.HOG0000421	OG0000329	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig00848, Siderastrea_Mexico_Barshis-Radice_Host_contig01686, Siderastrea_Mexico_Barshis-Radice_Host_contig09555, Siderastrea_Mexico_Barshis-Radice_Host_contig12423	isotig23839_Past
N0.HOG0000422	OG0000330	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08499, Siderastrea_Mexico_Barshis-Radice_Host_contig05840, Siderastrea_Mexico_Barshis-Radice_Host_contig04223, Siderastrea_Mexico_Barshis-Radice_Host_contig02017, Siderastrea_Mexico_Barshis-Radice_Host_contig13549	
N0.HOG0000423	OG0000331	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig06256, Siderastrea_Mexico_Barshis-Radice_Host_contig00249, Siderastrea_Mexico_Barshis-Radice_Host_contig17226, Siderastrea_Mexico_Barshis-Radice_Host_contig07730, Siderastrea_Mexico_Barshis-Radice_Host_contig13090	
N0.HOG0000424	OG0000332	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig14359, Siderastrea_Mexico_Barshis-Radice_Host_contig05673, Siderastrea_Mexico_Barshis-Radice_Host_contig01979, Siderastrea_Mexico_Barshis-Radice_Host_contig04586, Siderastrea_Mexico_Barshis-Radice_Host_contig17105	
N0.HOG0000425	OG0000333	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig09258	isotig03157_Past, isotig02462_Past, isotig32185_Past, isotig14805_Past
N0.HOG0000426	OG0000334	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13827, Siderastrea_Mexico_Barshis-Radice_Host_contig12433, Siderastrea_Mexico_Barshis-Radice_Host_contig11504, Siderastrea_Mexico_Barshis-Radice_Host_contig10332, Siderastrea_Mexico_Barshis-Radice_Host_contig16907	
N0.HOG0000427	OG0000335	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig10929, Siderastrea_Mexico_Barshis-Radice_Host_contig14430	isotig17936_Past, isotig19130_Past, isotig03139_Past
N0.HOG0000428	OG0000336	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig09882, Siderastrea_Mexico_Barshis-Radice_Host_contig10567, Siderastrea_Mexico_Barshis-Radice_Host_contig17044, Siderastrea_Mexico_Barshis-Radice_Host_contig02130	isotig25834_Past
N0.HOG0000429	OG0000337	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig08022	isotig09604_Past
N0.HOG0000430	OG0000337	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig11333, Siderastrea_Mexico_Barshis-Radice_Host_contig18054	isotig15931_Past
N0.HOG0000431	OG0000338	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig17444, Siderastrea_Mexico_Barshis-Radice_Host_contig00242, Siderastrea_Mexico_Barshis-Radice_Host_contig14186, Siderastrea_Mexico_Barshis-Radice_Host_contig01045, Siderastrea_Mexico_Barshis-Radice_Host_contig08258	
N0.HOG0000432	OG0000339	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig16716, Siderastrea_Mexico_Barshis-Radice_Host_contig12759, Siderastrea_Mexico_Barshis-Radice_Host_contig08215, Siderastrea_Mexico_Barshis-Radice_Host_contig09331, Siderastrea_Mexico_Barshis-Radice_Host_contig17032	
N0.HOG0000433	OG0000340	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig16998, Siderastrea_Mexico_Barshis-Radice_Host_contig05242, Siderastrea_Mexico_Barshis-Radice_Host_contig15298, Siderastrea_Mexico_Barshis-Radice_Host_contig12590, Siderastrea_Mexico_Barshis-Radice_Host_contig03970	
N0.HOG0000434	OG0000341	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig04097, Siderastrea_Mexico_Barshis-Radice_Host_contig12772, Siderastrea_Mexico_Barshis-Radice_Host_contig04607, Siderastrea_Mexico_Barshis-Radice_Host_contig06291, Siderastrea_Mexico_Barshis-Radice_Host_contig04351	
N0.HOG0000435	OG0000342	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig16570, Siderastrea_Mexico_Barshis-Radice_Host_contig01982, Siderastrea_Mexico_Barshis-Radice_Host_contig19065, Siderastrea_Mexico_Barshis-Radice_Host_contig09821, Siderastrea_Mexico_Barshis-Radice_Host_contig15974	
N0.HOG0000436	OG0000343	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig02999	isotig04832_Past, isotig04352_Past, isotig26074_Past, isotig08066_Past
N0.HOG0000437	OG0000344	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig07413	isotig23380_Past
N0.HOG0000438	OG0000344	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig12426	isotig11272_Past, isotig03368_Past
N0.HOG0000439	OG0000345	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig05358	GE916107_Past
N0.HOG0000440	OG0000345	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig17202, Siderastrea_Mexico_Barshis-Radice_Host_contig11519	isotig15997_Past
N0.HOG0000441	OG0000346	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig14726, Siderastrea_Mexico_Barshis-Radice_Host_contig17018, Siderastrea_Mexico_Barshis-Radice_Host_contig08365, Siderastrea_Mexico_Barshis-Radice_Host_contig00285	isotig17724_Past
N0.HOG0000442	OG0000347	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig10262	isotig24437_Past
N0.HOG0000443	OG0000347	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig12742	isotig02322_Past, isotig03740_Past
N0.HOG0000444	OG0000348	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13058	isotig26626_Past, isotig29634_Past, isotig03140_Past, isotig24487_Past
N0.HOG0000445	OG0000349	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig06969, Siderastrea_Mexico_Barshis-Radice_Host_contig15157, Siderastrea_Mexico_Barshis-Radice_Host_contig04018, Siderastrea_Mexico_Barshis-Radice_Host_contig09208, Siderastrea_Mexico_Barshis-Radice_Host_contig08808	
N0.HOG0000446	OG0000350	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08569, Siderastrea_Mexico_Barshis-Radice_Host_contig05516, Siderastrea_Mexico_Barshis-Radice_Host_contig16579, Siderastrea_Mexico_Barshis-Radice_Host_contig02432, Siderastrea_Mexico_Barshis-Radice_Host_contig14965	
N0.HOG0000447	OG0000351	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03158	isotig00422_Past, isotig21537_Past, isotig00527_Past, isotig11115_Past
N0.HOG0000448	OG0000352	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08659	isotig29325_Past, isotig23344_Past, isotig28783_Past, isotig00951_Past
N0.HOG0000449	OG0000353	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13599	isotig17901_Past, isotig32684_Past, isotig03778_Past, isotig09583_Past
N0.HOG0000450	OG0000354	n0		isotig23236_Past, isotig23299_Past, isotig27631_Past, isotig30573_Past, isotig03487_Past
N0.HOG0000451	OG0000355	n0		isotig19076_Past, isotig01008_Past, isotig16861_Past, isotig20544_Past, isotig16181_Past
N0.HOG0000452	OG0000356	n0		isotig12992_Past, isotig24362_Past, isotig12369_Past, isotig05589_Past, isotig04609_Past
N0.HOG0000453	OG0000357	n0		isotig22904_Past, isotig09301_Past, isotig10771_Past, isotig21580_Past, isotig03715_Past
N0.HOG0000454	OG0000358	n0		isotig02368_Past, isotig00533_Past, isotig06451_Past, isotig24737_Past, isotig13801_Past
N0.HOG0000455	OG0000359	n0		isotig00530_Past, isotig27435_Past, isotig13017_Past, isotig23605_Past, isotig03018_Past
N0.HOG0000456	OG0000360	n0		isotig05867_Past, isotig14124_Past, isotig17836_Past, isotig13110_Past, isotig28246_Past
N0.HOG0000457	OG0000361	n0		isotig09350_Past, isotig20273_Past, isotig12907_Past, isotig09110_Past, isotig08846_Past
N0.HOG0000458	OG0000362	n0		isotig14483_Past, isotig03246_Past, isotig19846_Past, isotig01510_Past, isotig12594_Past
N0.HOG0000459	OG0000363	n0		isotig03458_Past, isotig05291_Past, isotig00635_Past, isotig08193_Past, isotig22814_Past
N0.HOG0000460	OG0000364	n0		isotig07434_Past, isotig31149_Past, isotig08640_Past, isotig18606_Past, isotig25315_Past
N0.HOG0000461	OG0000365	n0		isotig04173_Past, isotig07932_Past, isotig27823_Past, isotig03839_Past, isotig05303_Past
N0.HOG0000462	OG0000366	n0		isotig23364_Past, isotig06575_Past, isotig01412_Past, isotig23495_Past, isotig23661_Past
N0.HOG0000463	OG0000367	n0		isotig15378_Past, isotig02536_Past, isotig01130_Past, isotig08315_Past, isotig24323_Past
N0.HOG0000464	OG0000368	n0		isotig02018_Past, isotig01900_Past, isotig08798_Past, isotig07118_Past, isotig02176_Past
N0.HOG0000465	OG0000369	n0		isotig30835_Past, isotig08606_Past, isotig29547_Past, isotig03684_Past, isotig09057_Past
N0.HOG0000466	OG0000370	n0		isotig07572_Past, isotig22366_Past, isotig12656_Past, isotig24298_Past, GE913831_Past
N0.HOG0000467	OG0000371	n0		isotig13825_Past, isotig12146_Past, isotig15895_Past, isotig14543_Past, isotig08561_Past
N0.HOG0000468	OG0000372	n0		isotig02726_Past, isotig09102_Past, isotig05919_Past, isotig05388_Past, GE911724_Past
N0.HOG0000469	OG0000373	n0		isotig06610_Past, isotig02899_Past, isotig05065_Past, isotig03398_Past, isotig16031_Past
N0.HOG0000470	OG0000374	n0		isotig00153_Past, isotig09264_Past, isotig17118_Past, isotig24806_Past, isotig04064_Past
N0.HOG0000471	OG0000375	n0		isotig08236_Past, isotig00298_Past, isotig11684_Past, isotig01188_Past, isotig14001_Past
N0.HOG0000472	OG0000376	n0		isotig27496_Past, isotig28504_Past, isotig24977_Past, isotig17521_Past, isotig14842_Past
N0.HOG0000473	OG0000377	n0		isotig27780_Past, isotig07803_Past, isotig22490_Past, isotig05041_Past, isotig21904_Past
N0.HOG0000474	OG0000378	n0		isotig04357_Past, isotig02258_Past, isotig03589_Past, isotig13740_Past, isotig01522_Past
N0.HOG0000475	OG0000379	n0		isotig00326_Past, isotig10967_Past, isotig25134_Past, isotig25114_Past, isotig12654_Past
N0.HOG0000476	OG0000380	n0		isotig16145_Past, isotig04845_Past, isotig01154_Past, isotig28482_Past, isotig15332_Past
N0.HOG0000477	OG0000381	n0		isotig06670_Past, isotig08610_Past, isotig24124_Past, isotig01764_Past, isotig04417_Past
N0.HOG0000478	OG0000382	n0		isotig20788_Past, isotig04123_Past, isotig03741_Past, isotig32524_Past, isotig04867_Past
N0.HOG0000479	OG0000383	n0		isotig13076_Past, isotig01960_Past, isotig30753_Past, isotig09356_Past, isotig00234_Past
N0.HOG0000480	OG0000384	n0		isotig11249_Past, isotig11126_Past, isotig03644_Past, isotig14345_Past, isotig17930_Past
N0.HOG0000481	OG0000385	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig14341, Siderastrea_Mexico_Barshis-Radice_Host_contig05216, Siderastrea_Mexico_Barshis-Radice_Host_contig10092, Siderastrea_Mexico_Barshis-Radice_Host_contig03729	
N0.HOG0000482	OG0000386	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig04252, Siderastrea_Mexico_Barshis-Radice_Host_contig09859, Siderastrea_Mexico_Barshis-Radice_Host_contig08790, Siderastrea_Mexico_Barshis-Radice_Host_contig15284	
N0.HOG0000483	OG0000387	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig15664, Siderastrea_Mexico_Barshis-Radice_Host_contig13832, Siderastrea_Mexico_Barshis-Radice_Host_contig09483, Siderastrea_Mexico_Barshis-Radice_Host_contig15289	
N0.HOG0000484	OG0000388	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig15360, Siderastrea_Mexico_Barshis-Radice_Host_contig15551, Siderastrea_Mexico_Barshis-Radice_Host_contig10987, Siderastrea_Mexico_Barshis-Radice_Host_contig11136	
N0.HOG0000485	OG0000389	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig04964, Siderastrea_Mexico_Barshis-Radice_Host_contig12507, Siderastrea_Mexico_Barshis-Radice_Host_contig03212, Siderastrea_Mexico_Barshis-Radice_Host_contig11593	
N0.HOG0000486	OG0000390	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig05112, Siderastrea_Mexico_Barshis-Radice_Host_contig13466, Siderastrea_Mexico_Barshis-Radice_Host_contig17679, Siderastrea_Mexico_Barshis-Radice_Host_contig19176	
N0.HOG0000487	OG0000391	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13111, Siderastrea_Mexico_Barshis-Radice_Host_contig11633, Siderastrea_Mexico_Barshis-Radice_Host_contig11467	isotig04113_Past
N0.HOG0000488	OG0000392	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig05540	isotig03647_Past, isotig05784_Past, isotig14224_Past
N0.HOG0000489	OG0000393	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig05183, Siderastrea_Mexico_Barshis-Radice_Host_contig10737, Siderastrea_Mexico_Barshis-Radice_Host_contig14183, Siderastrea_Mexico_Barshis-Radice_Host_contig00814	
N0.HOG0000490	OG0000394	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08090, Siderastrea_Mexico_Barshis-Radice_Host_contig12526, Siderastrea_Mexico_Barshis-Radice_Host_contig15472, Siderastrea_Mexico_Barshis-Radice_Host_contig05694	
N0.HOG0000491	OG0000395	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig11099, Siderastrea_Mexico_Barshis-Radice_Host_contig09725, Siderastrea_Mexico_Barshis-Radice_Host_contig15230, Siderastrea_Mexico_Barshis-Radice_Host_contig17489	
N0.HOG0000492	OG0000396	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13948, Siderastrea_Mexico_Barshis-Radice_Host_contig05797, Siderastrea_Mexico_Barshis-Radice_Host_contig11184, Siderastrea_Mexico_Barshis-Radice_Host_contig07957	
N0.HOG0000493	OG0000397	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig11590, Siderastrea_Mexico_Barshis-Radice_Host_contig15256, Siderastrea_Mexico_Barshis-Radice_Host_contig07554, Siderastrea_Mexico_Barshis-Radice_Host_contig17078	
N0.HOG0000494	OG0000398	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig18090, Siderastrea_Mexico_Barshis-Radice_Host_contig07842, Siderastrea_Mexico_Barshis-Radice_Host_contig09474, Siderastrea_Mexico_Barshis-Radice_Host_contig06474	
N0.HOG0000495	OG0000399	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig00632, Siderastrea_Mexico_Barshis-Radice_Host_contig17386, Siderastrea_Mexico_Barshis-Radice_Host_contig14130, Siderastrea_Mexico_Barshis-Radice_Host_contig14690	
N0.HOG0000496	OG0000400	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03762, Siderastrea_Mexico_Barshis-Radice_Host_contig16385, Siderastrea_Mexico_Barshis-Radice_Host_contig14501	isotig05520_Past
N0.HOG0000497	OG0000401	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03057, Siderastrea_Mexico_Barshis-Radice_Host_contig00839, Siderastrea_Mexico_Barshis-Radice_Host_contig07954, Siderastrea_Mexico_Barshis-Radice_Host_contig12548	
N0.HOG0000498	OG0000402	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig07333	isotig11864_Past
N0.HOG0000499	OG0000402	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig12729	isotig00247_Past
N0.HOG0000500	OG0000403	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig18133, Siderastrea_Mexico_Barshis-Radice_Host_contig12408, Siderastrea_Mexico_Barshis-Radice_Host_contig06538, Siderastrea_Mexico_Barshis-Radice_Host_contig17905	
N0.HOG0000501	OG0000404	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig06655, Siderastrea_Mexico_Barshis-Radice_Host_contig03839, Siderastrea_Mexico_Barshis-Radice_Host_contig14039, Siderastrea_Mexico_Barshis-Radice_Host_contig10038	
N0.HOG0000502	OG0000405	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03188, Siderastrea_Mexico_Barshis-Radice_Host_contig09479, Siderastrea_Mexico_Barshis-Radice_Host_contig12075, Siderastrea_Mexico_Barshis-Radice_Host_contig02682	
N0.HOG0000503	OG0000406	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig11036, Siderastrea_Mexico_Barshis-Radice_Host_contig06348, Siderastrea_Mexico_Barshis-Radice_Host_contig04513, Siderastrea_Mexico_Barshis-Radice_Host_contig12352	
N0.HOG0000504	OG0000407	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig19076, Siderastrea_Mexico_Barshis-Radice_Host_contig17975, Siderastrea_Mexico_Barshis-Radice_Host_contig10577, Siderastrea_Mexico_Barshis-Radice_Host_contig08870	
N0.HOG0000505	OG0000408	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig17900, Siderastrea_Mexico_Barshis-Radice_Host_contig13091, Siderastrea_Mexico_Barshis-Radice_Host_contig01926, Siderastrea_Mexico_Barshis-Radice_Host_contig08559	
N0.HOG0000506	OG0000409	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03599, Siderastrea_Mexico_Barshis-Radice_Host_contig07483, Siderastrea_Mexico_Barshis-Radice_Host_contig02342	isotig03191_Past
N0.HOG0000507	OG0000410	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig11711, Siderastrea_Mexico_Barshis-Radice_Host_contig15944, Siderastrea_Mexico_Barshis-Radice_Host_contig06876, Siderastrea_Mexico_Barshis-Radice_Host_contig00581	
N0.HOG0000508	OG0000411	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig11719	isotig19574_Past
N0.HOG0000509	OG0000411	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig11419	isotig03886_Past
N0.HOG0000510	OG0000412	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig07950, Siderastrea_Mexico_Barshis-Radice_Host_contig15873, Siderastrea_Mexico_Barshis-Radice_Host_contig18634, Siderastrea_Mexico_Barshis-Radice_Host_contig03944	
N0.HOG0000511	OG0000413	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig05340, Siderastrea_Mexico_Barshis-Radice_Host_contig08680, Siderastrea_Mexico_Barshis-Radice_Host_contig08610, Siderastrea_Mexico_Barshis-Radice_Host_contig07913	
N0.HOG0000512	OG0000414	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig04160, Siderastrea_Mexico_Barshis-Radice_Host_contig15662, Siderastrea_Mexico_Barshis-Radice_Host_contig16355, Siderastrea_Mexico_Barshis-Radice_Host_contig10632	
N0.HOG0000513	OG0000415	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13605, Siderastrea_Mexico_Barshis-Radice_Host_contig04140, Siderastrea_Mexico_Barshis-Radice_Host_contig18873	isotig05807_Past
N0.HOG0000514	OG0000416	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig06693, Siderastrea_Mexico_Barshis-Radice_Host_contig18826, Siderastrea_Mexico_Barshis-Radice_Host_contig18774, Siderastrea_Mexico_Barshis-Radice_Host_contig12883	
N0.HOG0000515	OG0000417	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig18830, Siderastrea_Mexico_Barshis-Radice_Host_contig18775, Siderastrea_Mexico_Barshis-Radice_Host_contig00537, Siderastrea_Mexico_Barshis-Radice_Host_contig11424	
N0.HOG0000516	OG0000418	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig12851, Siderastrea_Mexico_Barshis-Radice_Host_contig07857, Siderastrea_Mexico_Barshis-Radice_Host_contig08926	isotig04451_Past
N0.HOG0000517	OG0000419	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig15252, Siderastrea_Mexico_Barshis-Radice_Host_contig07855, Siderastrea_Mexico_Barshis-Radice_Host_contig07663	isotig07153_Past
N0.HOG0000518	OG0000420	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig17333	GCKDGN103G8HAR_Past
N0.HOG0000519	OG0000420	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig07853	isotig23799_Past
N0.HOG0000520	OG0000421	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig05965	isotig03350_Past
N0.HOG0000521	OG0000421	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig04053	isotig06024_Past
N0.HOG0000522	OG0000422	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08704, Siderastrea_Mexico_Barshis-Radice_Host_contig06064, Siderastrea_Mexico_Barshis-Radice_Host_contig17914, Siderastrea_Mexico_Barshis-Radice_Host_contig04574	
N0.HOG0000523	OG0000423	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig00394, Siderastrea_Mexico_Barshis-Radice_Host_contig11527, Siderastrea_Mexico_Barshis-Radice_Host_contig09024, Siderastrea_Mexico_Barshis-Radice_Host_contig01488	
N0.HOG0000524	OG0000424	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig15427, Siderastrea_Mexico_Barshis-Radice_Host_contig11664, Siderastrea_Mexico_Barshis-Radice_Host_contig11439, Siderastrea_Mexico_Barshis-Radice_Host_contig19194	
N0.HOG0000525	OG0000425	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig14212, Siderastrea_Mexico_Barshis-Radice_Host_contig17354, Siderastrea_Mexico_Barshis-Radice_Host_contig02896, Siderastrea_Mexico_Barshis-Radice_Host_contig07623	
N0.HOG0000526	OG0000426	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig07829	isotig00901_Past
N0.HOG0000527	OG0000426	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig03423	isotig13979_Past
N0.HOG0000528	OG0000427	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig07140	isotig11523_Past, isotig03605_Past, isotig08462_Past
N0.HOG0000529	OG0000428	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig14847, Siderastrea_Mexico_Barshis-Radice_Host_contig13546, Siderastrea_Mexico_Barshis-Radice_Host_contig17141, Siderastrea_Mexico_Barshis-Radice_Host_contig06503	
N0.HOG0000530	OG0000429	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig17823, Siderastrea_Mexico_Barshis-Radice_Host_contig13175, Siderastrea_Mexico_Barshis-Radice_Host_contig15342	isotig12814_Past
N0.HOG0000531	OG0000430	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig07086, Siderastrea_Mexico_Barshis-Radice_Host_contig18239, Siderastrea_Mexico_Barshis-Radice_Host_contig02057, Siderastrea_Mexico_Barshis-Radice_Host_contig17715	
N0.HOG0000532	OG0000431	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13228, Siderastrea_Mexico_Barshis-Radice_Host_contig06594, Siderastrea_Mexico_Barshis-Radice_Host_contig10257, Siderastrea_Mexico_Barshis-Radice_Host_contig12128	
N0.HOG0000533	OG0000432	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig15170, Siderastrea_Mexico_Barshis-Radice_Host_contig11490, Siderastrea_Mexico_Barshis-Radice_Host_contig05155	isotig09576_Past
N0.HOG0000534	OG0000433	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig03738, Siderastrea_Mexico_Barshis-Radice_Host_contig01717, Siderastrea_Mexico_Barshis-Radice_Host_contig06116	isotig26084_Past
N0.HOG0000535	OG0000434	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig18912, Siderastrea_Mexico_Barshis-Radice_Host_contig03737, Siderastrea_Mexico_Barshis-Radice_Host_contig06873	isotig01046_Past
N0.HOG0000536	OG0000435	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig07130, Siderastrea_Mexico_Barshis-Radice_Host_contig12481, Siderastrea_Mexico_Barshis-Radice_Host_contig16112	isotig16489_Past
N0.HOG0000537	OG0000436	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig02307, Siderastrea_Mexico_Barshis-Radice_Host_contig01063, Siderastrea_Mexico_Barshis-Radice_Host_contig10082, Siderastrea_Mexico_Barshis-Radice_Host_contig02426	
N0.HOG0000538	OG0000437	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13869, Siderastrea_Mexico_Barshis-Radice_Host_contig09104	isotig27210_Past, isotig17984_Past
N0.HOG0000539	OG0000438	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13901, Siderastrea_Mexico_Barshis-Radice_Host_contig00920, Siderastrea_Mexico_Barshis-Radice_Host_contig04880, Siderastrea_Mexico_Barshis-Radice_Host_contig09784	
N0.HOG0000540	OG0000439	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig08981, Siderastrea_Mexico_Barshis-Radice_Host_contig10019	isotig06258_Past, isotig24752_Past
N0.HOG0000541	OG0000440	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig13748, Siderastrea_Mexico_Barshis-Radice_Host_contig01117, Siderastrea_Mexico_Barshis-Radice_Host_contig01029, Siderastrea_Mexico_Barshis-Radice_Host_contig11734	
N0.HOG0000542	OG0000441	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig00115, Siderastrea_Mexico_Barshis-Radice_Host_contig18070, Siderastrea_Mexico_Barshis-Radice_Host_contig06956	isotig15213_Past
N0.HOG0000543	OG0000442	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig04845, Siderastrea_Mexico_Barshis-Radice_Host_contig03742, Siderastrea_Mexico_Barshis-Radice_Host_contig15054	isotig03956_Past
N0.HOG0000544	OG0000443	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig01731	isotig01202_Past, isotig08552_Past, isotig18099_Past
N0.HOG0000545	OG0000444	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig12908	isotig14021_Past
N0.HOG0000546	OG0000444	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig16580	isotig13455_Past
N0.HOG0000547	OG0000445	n0	Siderastrea_Mexico_Barshis-Radice_Host_contig17360, Siderastrea_Mexico_Barshis-Radice_Host_contig09391, Siderastrea_Mexico_Barshis-Radice_Host_contig12313	isotig20818_Past
N0.HOG0000548	OG0000446	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig18805	isotig17234_Past
N0.HOG0000549	OG0000446	n2	Siderastrea_Mexico_Barshis-Radice_Host_contig14984	isotig11375_Past
