"","GO","term","ontology","n","GOMF","GOBP","GOCC"
"408","GO:0048511","rhythmic process","BP",1,NA,NA,NA
"409","GO:0048589","developmental growth","BP",1,NA,NA,NA
"410","GO:0048813","dendrite morphogenesis","BP",1,NA,NA,NA
"411","GO:0048856","anatomical structure development","BP",1,NA,NA,NA
"412","GO:0050714","positive regulation of protein secretion","BP",1,NA,NA,NA
"413","GO:0050728","negative regulation of inflammatory response","BP",1,NA,NA,NA
"414","GO:0050770","regulation of axonogenesis","BP",1,NA,NA,NA
"415","GO:0050885","neuromuscular process controlling balance","BP",1,NA,NA,NA
"416","GO:0050982","detection of mechanical stimulus","BP",1,NA,NA,NA
"417","GO:0051028","mRNA transport","BP",1,NA,NA,NA
"418","GO:0051148","negative regulation of muscle cell differentiation","BP",1,NA,NA,NA
"419","GO:0051170","import into nucleus","BP",1,NA,NA,NA
"420","GO:0051262","protein tetramerization","BP",1,NA,NA,NA
"421","GO:0051289","protein homotetramerization","BP",1,NA,NA,NA
"422","GO:0051301","cell division","BP",1,NA,NA,NA
"423","GO:0051321","meiotic cell cycle","BP",1,NA,NA,NA
"424","GO:0051371","muscle alpha-actinin binding","MF",1,NA,NA,NA
"425","GO:0051592","response to calcium ion","BP",1,NA,NA,NA
"426","GO:0051603","proteolysis involved in cellular protein catabolic process","BP",1,NA,NA,NA
"427","GO:0051607","defense response to virus","BP",1,NA,NA,NA
"428","GO:0051965","positive regulation of synapse assembly","BP",1,NA,NA,NA
"429","GO:0055003","cardiac myofibril assembly","BP",1,NA,NA,NA
"430","GO:0060170","ciliary membrane","CC",1,NA,NA,NA
"431","GO:0060216","definitive hemopoiesis","BP",1,NA,NA,NA
"432","GO:0060219","camera-type eye photoreceptor cell differentiation","BP",1,NA,NA,NA
"433","GO:0060395","SMAD protein signal transduction","BP",1,NA,NA,NA
"434","GO:0060487","lung epithelial cell differentiation","BP",1,NA,NA,NA
"435","GO:0060996","dendritic spine development","BP",1,NA,NA,NA
"436","GO:0060997","dendritic spine morphogenesis","BP",1,NA,NA,NA
"437","GO:0060999","positive regulation of dendritic spine development","BP",1,NA,NA,NA
"438","GO:0061608","nuclear import signal receptor activity","MF",1,NA,NA,NA
"439","GO:0070374","positive regulation of ERK1 and ERK2 cascade","BP",1,NA,NA,NA
"440","GO:0070410","co-SMAD binding","MF",1,NA,NA,NA
"441","GO:0070411","I-SMAD binding","MF",1,NA,NA,NA
"442","GO:0071144","heteromeric SMAD protein complex","CC",1,NA,NA,NA
"443","GO:0071222","cellular response to lipopolysaccharide","BP",1,NA,NA,NA
"444","GO:0071277","cellular response to calcium ion","BP",1,NA,NA,NA
"445","GO:0071320","cellular response to cAMP","BP",1,NA,NA,NA
"446","GO:0071456","cellular response to hypoxia","BP",1,NA,NA,NA
"447","GO:0071560","cellular response to transforming growth factor beta stimulus","BP",1,NA,NA,NA
"448","GO:0072307","regulation of metanephric nephron tubule epithelial cell differentiation","BP",1,NA,NA,NA
"449","GO:0072686","mitotic spindle","CC",1,NA,NA,NA
"450","GO:0090090","negative regulation of canonical Wnt signaling pathway","BP",1,NA,NA,NA
"451","GO:0090307","mitotic spindle assembly","BP",1,NA,NA,NA
"452","GO:0097242","amyloid-beta clearance","BP",1,NA,NA,NA
"453","GO:0097730","non-motile cilium","CC",1,NA,NA,NA
"454","GO:0098662","inorganic cation transmembrane transport","BP",1,NA,NA,NA
"455","GO:0099092","postsynaptic density, intracellular component","CC",1,NA,NA,NA
"456","GO:0140581",NA,NA,1,NA,NA,NA
"457","GO:1902036","regulation of hematopoietic stem cell differentiation","BP",1,NA,NA,NA
"458","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II","BP",1,NA,NA,NA
"459","GO:1904115","axon cytoplasm","CC",1,NA,NA,NA
"460",NA,NA,NA,26,"No_GOMF",NA,NA
"461",NA,NA,NA,24,"metal ion binding (GO:0046872)",NA,NA
"462",NA,NA,NA,18,"ATP binding (GO:0005524)",NA,NA
"463",NA,NA,NA,11,"calcium ion binding (GO:0005509)",NA,NA
"464",NA,NA,NA,9,"RNA binding (GO:0003723)",NA,NA
"465",NA,NA,NA,8,"identical protein binding (GO:0042802)",NA,NA
"466",NA,NA,NA,6,"microtubule binding (GO:0008017)",NA,NA
"467",NA,NA,NA,6,"mRNA binding (GO:0003729)",NA,NA
"468",NA,NA,NA,5,"DNA binding (GO:0003677)",NA,NA
"469",NA,NA,NA,5,"GTP binding (GO:0005525)",NA,NA
"470",NA,NA,NA,5,"nucleic acid binding (GO:0003676)",NA,NA
"471",NA,NA,NA,5,"protein heterodimerization activity (GO:0046982)",NA,NA
"472",NA,NA,NA,5,"protein homodimerization activity (GO:0042803)",NA,NA
"473",NA,NA,NA,5,"protein serine/threonine kinase activity (GO:0004674)",NA,NA
"474",NA,NA,NA,5,"RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)",NA,NA
"475",NA,NA,NA,4,"actin filament binding (GO:0051015)",NA,NA
"476",NA,NA,NA,4,"cadherin binding (GO:0045296)",NA,NA
"477",NA,NA,NA,4,"GTPase activity (GO:0003924)",NA,NA
"478",NA,NA,NA,4,"guanyl-nucleotide exchange factor activity (GO:0005085)",NA,NA
"479",NA,NA,NA,4,"protein serine kinase activity (GO:0106310)",NA,NA
"480",NA,NA,NA,32,NA,"No_GOBP",NA
"481",NA,NA,NA,8,NA,"positive regulation of transcription by RNA polymerase II (GO:0045944)",NA
"482",NA,NA,NA,7,NA,"mRNA splicing, via spliceosome (GO:0000398)",NA
"483",NA,NA,NA,6,NA,"apoptotic process (GO:0006915)",NA
"484",NA,NA,NA,6,NA,"positive regulation of gene expression (GO:0010628)",NA
"485",NA,NA,NA,6,NA,"signal transduction (GO:0007165)",NA
"486",NA,NA,NA,5,NA,"cell differentiation (GO:0030154)",NA
"487",NA,NA,NA,5,NA,"DNA integration (GO:0015074)",NA
"488",NA,NA,NA,5,NA,"inflammatory response (GO:0006954)",NA
"489",NA,NA,NA,5,NA,"intracellular signal transduction (GO:0035556)",NA
"490",NA,NA,NA,4,NA,"aorta development (GO:0035904)",NA
"491",NA,NA,NA,4,NA,"cell adhesion (GO:0007155)",NA
"492",NA,NA,NA,4,NA,"cell population proliferation (GO:0008283)",NA
"493",NA,NA,NA,4,NA,"endocytosis (GO:0006897)",NA
"494",NA,NA,NA,4,NA,"extracellular matrix organization (GO:0030198)",NA
"495",NA,NA,NA,4,NA,"intracellular protein transport (GO:0006886)",NA
"496",NA,NA,NA,4,NA,"protein phosphorylation (GO:0006468)",NA
"497",NA,NA,NA,4,NA,"regulation of transcription by RNA polymerase II (GO:0006357)",NA
"498",NA,NA,NA,3,NA,"axon guidance (GO:0007411)",NA
"499",NA,NA,NA,3,NA,"brain development (GO:0007420)",NA
"500",NA,NA,NA,48,NA,NA,"integral component of membrane (GO:0016021)"
"501",NA,NA,NA,45,NA,NA,"cytoplasm (GO:0005737)"
"502",NA,NA,NA,36,NA,NA,"nucleus (GO:0005634)"
"503",NA,NA,NA,32,NA,NA,"cytosol (GO:0005829)"
"504",NA,NA,NA,25,NA,NA,"plasma membrane (GO:0005886)"
"505",NA,NA,NA,22,NA,NA,"No_GOCC"
"506",NA,NA,NA,19,NA,NA,"membrane (GO:0016020)"
"507",NA,NA,NA,13,NA,NA,"nucleoplasm (GO:0005654)"
"508",NA,NA,NA,11,NA,NA,"extracellular exosome (GO:0070062)"
"509",NA,NA,NA,10,NA,NA,"axon (GO:0030424)"
"510",NA,NA,NA,10,NA,NA,"endoplasmic reticulum membrane (GO:0005789)"
"511",NA,NA,NA,9,NA,NA,"endoplasmic reticulum (GO:0005783)"
"512",NA,NA,NA,9,NA,NA,"integral component of plasma membrane (GO:0005887)"
"513",NA,NA,NA,8,NA,NA,"cell surface (GO:0009986)"
"514",NA,NA,NA,8,NA,NA,"Golgi apparatus (GO:0005794)"
"515",NA,NA,NA,7,NA,NA,"endosome (GO:0005768)"
"516",NA,NA,NA,7,NA,NA,"lysosome (GO:0005764)"
"517",NA,NA,NA,7,NA,NA,"mitochondrial inner membrane (GO:0005743)"
"518",NA,NA,NA,6,NA,NA,"cytoskeleton (GO:0005856)"
"519",NA,NA,NA,6,NA,NA,"dendrite (GO:0030425)"
