"","orthogroup","gene_Sid","isotig"
"N0.HOG0001660","N0.HOG0001660","Siderastrea_Mexico_Barshis-Radice_Host_contig08857","isotig20456_Past"
"N0.HOG0001662","N0.HOG0001662","Siderastrea_Mexico_Barshis-Radice_Host_contig05387","GCKDGN101B7BVV_Past"
"N0.HOG0001665","N0.HOG0001665","Siderastrea_Mexico_Barshis-Radice_Host_contig09635","isotig07725_Past"
"N0.HOG0001667","N0.HOG0001667","Siderastrea_Mexico_Barshis-Radice_Host_contig18029","isotig09949_Past"
"N0.HOG0001668","N0.HOG0001668","Siderastrea_Mexico_Barshis-Radice_Host_contig09819","isotig12464_Past"
"N0.HOG0001669","N0.HOG0001669","Siderastrea_Mexico_Barshis-Radice_Host_contig09814","GCKDGN103GSKW2_Past"
"N0.HOG0001671","N0.HOG0001671","Siderastrea_Mexico_Barshis-Radice_Host_contig06437","isotig05076_Past"
"N0.HOG0001672","N0.HOG0001672","Siderastrea_Mexico_Barshis-Radice_Host_contig06434","isotig05439_Past"
"N0.HOG0001676","N0.HOG0001676","Siderastrea_Mexico_Barshis-Radice_Host_contig02521","isotig07707_Past"
"N0.HOG0001679","N0.HOG0001679","Siderastrea_Mexico_Barshis-Radice_Host_contig13271","isotig04581_Past"
"N0.HOG0001680","N0.HOG0001680","Siderastrea_Mexico_Barshis-Radice_Host_contig17107","isotig26454_Past"
"N0.HOG0001681","N0.HOG0001681","Siderastrea_Mexico_Barshis-Radice_Host_contig11696","isotig24708_Past"
"N0.HOG0001685","N0.HOG0001685","Siderastrea_Mexico_Barshis-Radice_Host_contig02282","isotig26360_Past"
"N0.HOG0001687","N0.HOG0001687","Siderastrea_Mexico_Barshis-Radice_Host_contig17591","isotig03744_Past"
"N0.HOG0001693","N0.HOG0001693","Siderastrea_Mexico_Barshis-Radice_Host_contig17351","isotig03392_Past"
"N0.HOG0001696","N0.HOG0001696","Siderastrea_Mexico_Barshis-Radice_Host_contig06958","isotig16061_Past"
"N0.HOG0001701","N0.HOG0001701","Siderastrea_Mexico_Barshis-Radice_Host_contig15339","isotig12149_Past"
"N0.HOG0001704","N0.HOG0001704","Siderastrea_Mexico_Barshis-Radice_Host_contig00467","isotig03655_Past"
"N0.HOG0001705","N0.HOG0001705","Siderastrea_Mexico_Barshis-Radice_Host_contig00466","GCKDGN102DUO0D_Past"
"N0.HOG0001708","N0.HOG0001708","Siderastrea_Mexico_Barshis-Radice_Host_contig07609","GCKDGN101CI5OV_Past"
"N0.HOG0001711","N0.HOG0001711","Siderastrea_Mexico_Barshis-Radice_Host_contig05607","isotig15580_Past"
"N0.HOG0001713","N0.HOG0001713","Siderastrea_Mexico_Barshis-Radice_Host_contig19105","GCKDGN101BH3LV_Past"
"N0.HOG0001715","N0.HOG0001715","Siderastrea_Mexico_Barshis-Radice_Host_contig13045","isotig10191_Past"
"N0.HOG0001718","N0.HOG0001718","Siderastrea_Mexico_Barshis-Radice_Host_contig01656","isotig04005_Past"
"N0.HOG0001720","N0.HOG0001720","Siderastrea_Mexico_Barshis-Radice_Host_contig02380","isotig04344_Past"
"N0.HOG0001721","N0.HOG0001721","Siderastrea_Mexico_Barshis-Radice_Host_contig02383","isotig09207_Past"
"N0.HOG0001722","N0.HOG0001722","Siderastrea_Mexico_Barshis-Radice_Host_contig10461","isotig06920_Past"
"N0.HOG0001725","N0.HOG0001725","Siderastrea_Mexico_Barshis-Radice_Host_contig13474","isotig04701_Past"
"N0.HOG0001729","N0.HOG0001729","Siderastrea_Mexico_Barshis-Radice_Host_contig11755","isotig02755_Past"
"N0.HOG0001732","N0.HOG0001732","Siderastrea_Mexico_Barshis-Radice_Host_contig03477","isotig05550_Past"
"N0.HOG0001733","N0.HOG0001733","Siderastrea_Mexico_Barshis-Radice_Host_contig18807","isotig04957_Past"
"N0.HOG0001735","N0.HOG0001735","Siderastrea_Mexico_Barshis-Radice_Host_contig03221","GE914318_Past"
"N0.HOG0001737","N0.HOG0001737","Siderastrea_Mexico_Barshis-Radice_Host_contig07386","isotig14247_Past"
"N0.HOG0001738","N0.HOG0001738","Siderastrea_Mexico_Barshis-Radice_Host_contig07381","isotig04624_Past"
"N0.HOG0001739","N0.HOG0001739","Siderastrea_Mexico_Barshis-Radice_Host_contig16566","isotig02394_Past"
"N0.HOG0001740","N0.HOG0001740","Siderastrea_Mexico_Barshis-Radice_Host_contig14768","GCKDGN101CE8LR_Past"
"N0.HOG0001741","N0.HOG0001741","Siderastrea_Mexico_Barshis-Radice_Host_contig16569","isotig01692_Past"
"N0.HOG0001743","N0.HOG0001743","Siderastrea_Mexico_Barshis-Radice_Host_contig04304","isotig08353_Past"
"N0.HOG0001745","N0.HOG0001745","Siderastrea_Mexico_Barshis-Radice_Host_contig11037","isotig11568_Past"
"N0.HOG0001747","N0.HOG0001747","Siderastrea_Mexico_Barshis-Radice_Host_contig03010","isotig23191_Past"
"N0.HOG0001750","N0.HOG0001750","Siderastrea_Mexico_Barshis-Radice_Host_contig08386","isotig11497_Past"
"N0.HOG0001751","N0.HOG0001751","Siderastrea_Mexico_Barshis-Radice_Host_contig08385","isotig09491_Past"
"N0.HOG0001753","N0.HOG0001753","Siderastrea_Mexico_Barshis-Radice_Host_contig18002","isotig01040_Past"
"N0.HOG0001754","N0.HOG0001754","Siderastrea_Mexico_Barshis-Radice_Host_contig09381","isotig30222_Past"
"N0.HOG0001755","N0.HOG0001755","Siderastrea_Mexico_Barshis-Radice_Host_contig09380","isotig05701_Past"
"N0.HOG0001756","N0.HOG0001756","Siderastrea_Mexico_Barshis-Radice_Host_contig09383","GCKDGN101B9FL0_Past"
"N0.HOG0001758","N0.HOG0001758","Siderastrea_Mexico_Barshis-Radice_Host_contig08128","GCKDGN102EL8AX_Past"
"N0.HOG0001760","N0.HOG0001760","Siderastrea_Mexico_Barshis-Radice_Host_contig16362","isotig08631_Past"
"N0.HOG0001761","N0.HOG0001761","Siderastrea_Mexico_Barshis-Radice_Host_contig13788","isotig04163_Past"
"N0.HOG0001762","N0.HOG0001762","Siderastrea_Mexico_Barshis-Radice_Host_contig13786","GCKDGN102EMY2L_Past"
"N0.HOG0001764","N0.HOG0001764","Siderastrea_Mexico_Barshis-Radice_Host_contig01300","isotig10919_Past"
"N0.HOG0001765","N0.HOG0001765","Siderastrea_Mexico_Barshis-Radice_Host_contig06131","isotig15335_Past"
"N0.HOG0001767","N0.HOG0001767","Siderastrea_Mexico_Barshis-Radice_Host_contig02246","isotig29320_Past"
"N0.HOG0001768","N0.HOG0001768","Siderastrea_Mexico_Barshis-Radice_Host_contig08895","isotig04662_Past"
"N0.HOG0001769","N0.HOG0001769","Siderastrea_Mexico_Barshis-Radice_Host_contig12783","isotig03700_Past"
"N0.HOG0001777","N0.HOG0001777","Siderastrea_Mexico_Barshis-Radice_Host_contig17576","isotig19943_Past"
"N0.HOG0001778","N0.HOG0001778","Siderastrea_Mexico_Barshis-Radice_Host_contig02651","GE911602_Past"
"N0.HOG0001779","N0.HOG0001779","Siderastrea_Mexico_Barshis-Radice_Host_contig02658","isotig05686_Past"
"N0.HOG0001780","N0.HOG0001780","Siderastrea_Mexico_Barshis-Radice_Host_contig14804","isotig25561_Past"
"N0.HOG0001784","N0.HOG0001784","Siderastrea_Mexico_Barshis-Radice_Host_contig16950","GCKDGN103GNTWR_Past"
"N0.HOG0001785","N0.HOG0001785","Siderastrea_Mexico_Barshis-Radice_Host_contig16951","isotig14585_Past"
"N0.HOG0001787","N0.HOG0001787","Siderastrea_Mexico_Barshis-Radice_Host_contig04717","isotig17353_Past"
"N0.HOG0001788","N0.HOG0001788","Siderastrea_Mexico_Barshis-Radice_Host_contig04711","isotig00725_Past"
"N0.HOG0001789","N0.HOG0001789","Siderastrea_Mexico_Barshis-Radice_Host_contig15313","GCKDGN103F2WNX_Past"
"N0.HOG0001790","N0.HOG0001790","Siderastrea_Mexico_Barshis-Radice_Host_contig15310","isotig24281_Past"
"N0.HOG0001794","N0.HOG0001794","Siderastrea_Mexico_Barshis-Radice_Host_contig07594","isotig03337_Past"
"N0.HOG0001795","N0.HOG0001795","Siderastrea_Mexico_Barshis-Radice_Host_contig07598","isotig00883_Past"
"N0.HOG0001796","N0.HOG0001796","Siderastrea_Mexico_Barshis-Radice_Host_contig07599","isotig21790_Past"
"N0.HOG0001797","N0.HOG0001797","Siderastrea_Mexico_Barshis-Radice_Host_contig03299","isotig15140_Past"
"N0.HOG0001799","N0.HOG0001799","Siderastrea_Mexico_Barshis-Radice_Host_contig00481","isotig00865_Past"
"N0.HOG0001804","N0.HOG0001804","Siderastrea_Mexico_Barshis-Radice_Host_contig07621","isotig24588_Past"
"N0.HOG0001807","N0.HOG0001807","Siderastrea_Mexico_Barshis-Radice_Host_contig05445","isotig14970_Past"
"N0.HOG0001809","N0.HOG0001809","Siderastrea_Mexico_Barshis-Radice_Host_contig01288","isotig16661_Past"
"N0.HOG0001811","N0.HOG0001811","Siderastrea_Mexico_Barshis-Radice_Host_contig05197","isotig20823_Past"
"N0.HOG0001812","N0.HOG0001812","Siderastrea_Mexico_Barshis-Radice_Host_contig05193","isotig26979_Past"
"N0.HOG0001813","N0.HOG0001813","Siderastrea_Mexico_Barshis-Radice_Host_contig14785","isotig04649_Past"
"N0.HOG0001814","N0.HOG0001814","Siderastrea_Mexico_Barshis-Radice_Host_contig03227","isotig26736_Past"
"N0.HOG0001815","N0.HOG0001815","Siderastrea_Mexico_Barshis-Radice_Host_contig11090","isotig04146_Past"
"N0.HOG0001816","N0.HOG0001816","Siderastrea_Mexico_Barshis-Radice_Host_contig09738","isotig03804_Past"
"N0.HOG0001821","N0.HOG0001821","Siderastrea_Mexico_Barshis-Radice_Host_contig13065","isotig16403_Past"
"N0.HOG0001822","N0.HOG0001822","Siderastrea_Mexico_Barshis-Radice_Host_contig01634","isotig03158_Past"
"N0.HOG0001824","N0.HOG0001824","Siderastrea_Mexico_Barshis-Radice_Host_contig18274","GCKDGN102C6TE6_Past"
"N0.HOG0001825","N0.HOG0001825","Siderastrea_Mexico_Barshis-Radice_Host_contig05327","isotig09318_Past"
"N0.HOG0001827","N0.HOG0001827","Siderastrea_Mexico_Barshis-Radice_Host_contig02691","isotig28592_Past"
"N0.HOG0001831","N0.HOG0001831","Siderastrea_Mexico_Barshis-Radice_Host_contig06367","isotig19477_Past"
"N0.HOG0001832","N0.HOG0001832","Siderastrea_Mexico_Barshis-Radice_Host_contig03455","isotig15793_Past"
"N0.HOG0001835","N0.HOG0001835","Siderastrea_Mexico_Barshis-Radice_Host_contig03458","isotig12573_Past"
"N0.HOG0001836","N0.HOG0001836","Siderastrea_Mexico_Barshis-Radice_Host_contig10862","isotig21910_Past"
"N0.HOG0001838","N0.HOG0001838","Siderastrea_Mexico_Barshis-Radice_Host_contig15202","GCKDGN102EFN3M_Past"
"N0.HOG0001839","N0.HOG0001839","Siderastrea_Mexico_Barshis-Radice_Host_contig07360","isotig25552_Past"
"N0.HOG0001841","N0.HOG0001841","Siderastrea_Mexico_Barshis-Radice_Host_contig16544","isotig03385_Past"
"N0.HOG0001842","N0.HOG0001842","Siderastrea_Mexico_Barshis-Radice_Host_contig02464","isotig21054_Past"
"N0.HOG0001847","N0.HOG0001847","Siderastrea_Mexico_Barshis-Radice_Host_contig08819","isotig01656_Past"
"N0.HOG0001848","N0.HOG0001848","Siderastrea_Mexico_Barshis-Radice_Host_contig17158","isotig15079_Past"
"N0.HOG0001849","N0.HOG0001849","Siderastrea_Mexico_Barshis-Radice_Host_contig11018","isotig11826_Past"
"N0.HOG0001850","N0.HOG0001850","Siderastrea_Mexico_Barshis-Radice_Host_contig05853","isotig03328_Past"
"N0.HOG0001853","N0.HOG0001853","Siderastrea_Mexico_Barshis-Radice_Host_contig04105","isotig10829_Past"
"N0.HOG0001856","N0.HOG0001856","Siderastrea_Mexico_Barshis-Radice_Host_contig08108","isotig06202_Past"
"N0.HOG0001858","N0.HOG0001858","Siderastrea_Mexico_Barshis-Radice_Host_contig10059","isotig05640_Past"
"N0.HOG0001860","N0.HOG0001860","Siderastrea_Mexico_Barshis-Radice_Host_contig00736","isotig09278_Past"
"N0.HOG0001863","N0.HOG0001863","Siderastrea_Mexico_Barshis-Radice_Host_contig11906","isotig25302_Past"
"N0.HOG0001864","N0.HOG0001864","Siderastrea_Mexico_Barshis-Radice_Host_contig07871","isotig04020_Past"
"N0.HOG0001867","N0.HOG0001867","Siderastrea_Mexico_Barshis-Radice_Host_contig07873","isotig03241_Past"
"N0.HOG0001868","N0.HOG0001868","Siderastrea_Mexico_Barshis-Radice_Host_contig02268","isotig17336_Past"
"N0.HOG0001869","N0.HOG0001869","Siderastrea_Mexico_Barshis-Radice_Host_contig02267","isotig04237_Past"
"N0.HOG0001871","N0.HOG0001871","Siderastrea_Mexico_Barshis-Radice_Host_contig13431","isotig06331_Past"
"N0.HOG0001872","N0.HOG0001872","Siderastrea_Mexico_Barshis-Radice_Host_contig09329","isotig12151_Past"
"N0.HOG0001876","N0.HOG0001876","Siderastrea_Mexico_Barshis-Radice_Host_contig17430","isotig01093_Past"
"N0.HOG0001879","N0.HOG0001879","Siderastrea_Mexico_Barshis-Radice_Host_contig11652","isotig14163_Past"
"N0.HOG0001880","N0.HOG0001880","Siderastrea_Mexico_Barshis-Radice_Host_contig16887","isotig29620_Past"
"N0.HOG0001882","N0.HOG0001882","Siderastrea_Mexico_Barshis-Radice_Host_contig17556","isotig19209_Past"
"N0.HOG0001883","N0.HOG0001883","Siderastrea_Mexico_Barshis-Radice_Host_contig08633","isotig28277_Past"
"N0.HOG0001884","N0.HOG0001884","Siderastrea_Mexico_Barshis-Radice_Host_contig16880","GCKDGN102EN4I5_Past"
"N0.HOG0001886","N0.HOG0001886","Siderastrea_Mexico_Barshis-Radice_Host_contig12107","isotig19340_Past"
"N0.HOG0001888","N0.HOG0001888","Siderastrea_Mexico_Barshis-Radice_Host_contig06191","isotig13273_Past"
"N0.HOG0001889","N0.HOG0001889","Siderastrea_Mexico_Barshis-Radice_Host_contig06195","isotig05769_Past"
"N0.HOG0001892","N0.HOG0001892","Siderastrea_Mexico_Barshis-Radice_Host_contig14819","isotig07934_Past"
"N0.HOG0001896","N0.HOG0001896","Siderastrea_Mexico_Barshis-Radice_Host_contig06996","isotig03848_Past"
"N0.HOG0001898","N0.HOG0001898","Siderastrea_Mexico_Barshis-Radice_Host_contig00139","isotig18041_Past"
"N0.HOG0001899","N0.HOG0001899","Siderastrea_Mexico_Barshis-Radice_Host_contig00883","GCKDGN101CBNCE_Past"
"N0.HOG0001900","N0.HOG0001900","Siderastrea_Mexico_Barshis-Radice_Host_contig00132","isotig28403_Past"
"N0.HOG0001901","N0.HOG0001901","Siderastrea_Mexico_Barshis-Radice_Host_contig04590","isotig07284_Past"
"N0.HOG0001904","N0.HOG0001904","Siderastrea_Mexico_Barshis-Radice_Host_contig05469","isotig04565_Past"
"N0.HOG0001907","N0.HOG0001907","Siderastrea_Mexico_Barshis-Radice_Host_contig11461","isotig05830_Past"
"N0.HOG0001908","N0.HOG0001908","Siderastrea_Mexico_Barshis-Radice_Host_contig17388","GCKDGN102DVT8A_Past"
"N0.HOG0001910","N0.HOG0001910","Siderastrea_Mexico_Barshis-Radice_Host_contig05649","isotig03263_Past"
"N0.HOG0001912","N0.HOG0001912","Siderastrea_Mexico_Barshis-Radice_Host_contig01776","isotig11189_Past"
"N0.HOG0001913","N0.HOG0001913","Siderastrea_Mexico_Barshis-Radice_Host_contig01779","isotig13836_Past"
"N0.HOG0001919","N0.HOG0001919","Siderastrea_Mexico_Barshis-Radice_Host_contig10428","isotig10746_Past"
"N0.HOG0001920","N0.HOG0001920","Siderastrea_Mexico_Barshis-Radice_Host_contig01932","isotig20280_Past"
"N0.HOG0001923","N0.HOG0001923","Siderastrea_Mexico_Barshis-Radice_Host_contig01930","isotig02306_Past"
"N0.HOG0001924","N0.HOG0001924","Siderastrea_Mexico_Barshis-Radice_Host_contig00693","isotig00850_Past"
"N0.HOG0001925","N0.HOG0001925","Siderastrea_Mexico_Barshis-Radice_Host_contig00698","isotig13582_Past"
"N0.HOG0001928","N0.HOG0001928","Siderastrea_Mexico_Barshis-Radice_Host_contig00965","isotig18090_Past"
"N0.HOG0001929","N0.HOG0001929","Siderastrea_Mexico_Barshis-Radice_Host_contig12350","GE911365_Past"
"N0.HOG0001930","N0.HOG0001930","Siderastrea_Mexico_Barshis-Radice_Host_contig06346","GCKDGN102D7M22_Past"
"N0.HOG0001931","N0.HOG0001931","Siderastrea_Mexico_Barshis-Radice_Host_contig06343","isotig03707_Past"
"N0.HOG0001933","N0.HOG0001933","Siderastrea_Mexico_Barshis-Radice_Host_contig16115","isotig11435_Past"
"N0.HOG0001936","N0.HOG0001936","Siderastrea_Mexico_Barshis-Radice_Host_contig10245","isotig18269_Past"
"N0.HOG0001937","N0.HOG0001937","Siderastrea_Mexico_Barshis-Radice_Host_contig10844","isotig01428_Past"
"N0.HOG0001940","N0.HOG0001940","Siderastrea_Mexico_Barshis-Radice_Host_contig00950","isotig27513_Past"
"N0.HOG0001942","N0.HOG0001942","Siderastrea_Mexico_Barshis-Radice_Host_contig07124","GCKDGN102DNDOT_Past"
"N0.HOG0001943","N0.HOG0001943","Siderastrea_Mexico_Barshis-Radice_Host_contig07122","isotig04448_Past"
"N0.HOG0001944","N0.HOG0001944","Siderastrea_Mexico_Barshis-Radice_Host_contig07121","GCKDGN102EAOYJ_Past"
"N0.HOG0001945","N0.HOG0001945","Siderastrea_Mexico_Barshis-Radice_Host_contig06735","isotig25254_Past"
"N0.HOG0001947","N0.HOG0001947","Siderastrea_Mexico_Barshis-Radice_Host_contig08834","isotig25536_Past"
"N0.HOG0001949","N0.HOG0001949","Siderastrea_Mexico_Barshis-Radice_Host_contig06836","isotig03326_Past"
"N0.HOG0001951","N0.HOG0001951","Siderastrea_Mexico_Barshis-Radice_Host_contig11077","isotig07515_Past"
"N0.HOG0001952","N0.HOG0001952","Siderastrea_Mexico_Barshis-Radice_Host_contig11073","isotig21340_Past"
"N0.HOG0001954","N0.HOG0001954","Siderastrea_Mexico_Barshis-Radice_Host_contig05875","isotig16201_Past"
"N0.HOG0001955","N0.HOG0001955","Siderastrea_Mexico_Barshis-Radice_Host_contig05873","isotig05329_Past"
"N0.HOG0001956","N0.HOG0001956","Siderastrea_Mexico_Barshis-Radice_Host_contig05870","isotig10396_Past"
"N0.HOG0001960","N0.HOG0001960","Siderastrea_Mexico_Barshis-Radice_Host_contig04471","isotig28904_Past"
"N0.HOG0001963","N0.HOG0001963","Siderastrea_Mexico_Barshis-Radice_Host_contig08346","isotig05925_Past"
"N0.HOG0001965","N0.HOG0001965","Siderastrea_Mexico_Barshis-Radice_Host_contig18040","isotig03135_Past"
"N0.HOG0001966","N0.HOG0001966","Siderastrea_Mexico_Barshis-Radice_Host_contig10213","GE908773_Past"
"N0.HOG0001967","N0.HOG0001967","Siderastrea_Mexico_Barshis-Radice_Host_contig06839","isotig06798_Past"
"N0.HOG0001968","N0.HOG0001968","Siderastrea_Mexico_Barshis-Radice_Host_contig08698","isotig06466_Past"
"N0.HOG0001971","N0.HOG0001971","Siderastrea_Mexico_Barshis-Radice_Host_contig05253","isotig23768_Past"
"N0.HOG0001972","N0.HOG0001972","Siderastrea_Mexico_Barshis-Radice_Host_contig11924","isotig08713_Past"
"N0.HOG0001973","N0.HOG0001973","Siderastrea_Mexico_Barshis-Radice_Host_contig11925","isotig03179_Past"
"N0.HOG0001977","N0.HOG0001977","Siderastrea_Mexico_Barshis-Radice_Host_contig13744","isotig16899_Past"
"N0.HOG0001980","N0.HOG0001980","Siderastrea_Mexico_Barshis-Radice_Host_contig09564","isotig14215_Past"
"N0.HOG0001983","N0.HOG0001983","Siderastrea_Mexico_Barshis-Radice_Host_contig13567","isotig11042_Past"
"N0.HOG0001984","N0.HOG0001984","Siderastrea_Mexico_Barshis-Radice_Host_contig13297","isotig04630_Past"
"N0.HOG0001988","N0.HOG0001988","Siderastrea_Mexico_Barshis-Radice_Host_contig03557","isotig15766_Past"
"N0.HOG0001990","N0.HOG0001990","Siderastrea_Mexico_Barshis-Radice_Host_contig11585","isotig04117_Past"
"N0.HOG0001992","N0.HOG0001992","Siderastrea_Mexico_Barshis-Radice_Host_contig12164","isotig12523_Past"
"N0.HOG0001993","N0.HOG0001993","Siderastrea_Mexico_Barshis-Radice_Host_contig12160","isotig07148_Past"
"N0.HOG0001995","N0.HOG0001995","Siderastrea_Mexico_Barshis-Radice_Host_contig10985","isotig06088_Past"
"N0.HOG0001996","N0.HOG0001996","Siderastrea_Mexico_Barshis-Radice_Host_contig10984","isotig05306_Past"
"N0.HOG0001999","N0.HOG0001999","Siderastrea_Mexico_Barshis-Radice_Host_contig05405","isotig01214_Past"
"N0.HOG0002001","N0.HOG0002001","Siderastrea_Mexico_Barshis-Radice_Host_contig14748","isotig15066_Past"
"N0.HOG0002002","N0.HOG0002002","Siderastrea_Mexico_Barshis-Radice_Host_contig04310","isotig14401_Past"
"N0.HOG0002003","N0.HOG0002003","Siderastrea_Mexico_Barshis-Radice_Host_contig04313","isotig10903_Past"
"N0.HOG0002004","N0.HOG0002004","Siderastrea_Mexico_Barshis-Radice_Host_contig04314","isotig09608_Past"
"N0.HOG0002005","N0.HOG0002005","Siderastrea_Mexico_Barshis-Radice_Host_contig04317","isotig03824_Past"
"N0.HOG0002006","N0.HOG0002006","Siderastrea_Mexico_Barshis-Radice_Host_contig04316","GE914826_Past"
"N0.HOG0002008","N0.HOG0002008","Siderastrea_Mexico_Barshis-Radice_Host_contig18230","isotig04422_Past"
"N0.HOG0002010","N0.HOG0002010","Siderastrea_Mexico_Barshis-Radice_Host_contig10155","isotig06433_Past"
"N0.HOG0002011","N0.HOG0002011","Siderastrea_Mexico_Barshis-Radice_Host_contig10408","isotig15985_Past"
"N0.HOG0002012","N0.HOG0002012","Siderastrea_Mexico_Barshis-Radice_Host_contig06223","isotig16004_Past"
"N0.HOG0002013","N0.HOG0002013","Siderastrea_Mexico_Barshis-Radice_Host_contig13463","isotig11459_Past"
"N0.HOG0002014","N0.HOG0002014","Siderastrea_Mexico_Barshis-Radice_Host_contig00941","isotig03195_Past"
"N0.HOG0002016","N0.HOG0002016","Siderastrea_Mexico_Barshis-Radice_Host_contig03495","isotig07908_Past"
"N0.HOG0002017","N0.HOG0002017","Siderastrea_Mexico_Barshis-Radice_Host_contig03494","isotig19356_Past"
"N0.HOG0002018","N0.HOG0002018","Siderastrea_Mexico_Barshis-Radice_Host_contig13178","isotig24728_Past"
"N0.HOG0002019","N0.HOG0002019","Siderastrea_Mexico_Barshis-Radice_Host_contig01892","isotig13129_Past"
"N0.HOG0002022","N0.HOG0002022","Siderastrea_Mexico_Barshis-Radice_Host_contig17371","isotig03868_Past"
"N0.HOG0002023","N0.HOG0002023","Siderastrea_Mexico_Barshis-Radice_Host_contig05417","isotig21447_Past"
"N0.HOG0002024","N0.HOG0002024","Siderastrea_Mexico_Barshis-Radice_Host_contig06570","isotig03527_Past"
"N0.HOG0002026","N0.HOG0002026","Siderastrea_Mexico_Barshis-Radice_Host_contig06816","isotig04975_Past"
"N0.HOG0002027","N0.HOG0002027","Siderastrea_Mexico_Barshis-Radice_Host_contig04672","isotig06285_Past"
"N0.HOG0002028","N0.HOG0002028","Siderastrea_Mexico_Barshis-Radice_Host_contig04670","isotig18331_Past"
"N0.HOG0002029","N0.HOG0002029","Siderastrea_Mexico_Barshis-Radice_Host_contig11059","GCKDGN103HJQKX_Past"
"N0.HOG0002030","N0.HOG0002030","Siderastrea_Mexico_Barshis-Radice_Host_contig04419","isotig12016_Past"
"N0.HOG0002031","N0.HOG0002031","Siderastrea_Mexico_Barshis-Radice_Host_contig04410","GCKDGN102DBFVH_Past"
"N0.HOG0002032","N0.HOG0002032","Siderastrea_Mexico_Barshis-Radice_Host_contig08957","isotig25413_Past"
"N0.HOG0002034","N0.HOG0002034","Siderastrea_Mexico_Barshis-Radice_Host_contig00301","isotig15237_Past"
"N0.HOG0002035","N0.HOG0002035","Siderastrea_Mexico_Barshis-Radice_Host_contig08368","isotig06845_Past"
"N0.HOG0002036","N0.HOG0002036","Siderastrea_Mexico_Barshis-Radice_Host_contig08367","isotig08630_Past"
"N0.HOG0002037","N0.HOG0002037","Siderastrea_Mexico_Barshis-Radice_Host_contig08360","isotig12401_Past"
"N0.HOG0002041","N0.HOG0002041","Siderastrea_Mexico_Barshis-Radice_Host_contig07909","isotig17202_Past"
"N0.HOG0002042","N0.HOG0002042","Siderastrea_Mexico_Barshis-Radice_Host_contig08146","isotig01094_Past"
"N0.HOG0002043","N0.HOG0002043","Siderastrea_Mexico_Barshis-Radice_Host_contig05231","isotig14658_Past"
"N0.HOG0002045","N0.HOG0002045","Siderastrea_Mexico_Barshis-Radice_Host_contig09095","isotig06102_Past"
"N0.HOG0002046","N0.HOG0002046","Siderastrea_Mexico_Barshis-Radice_Host_contig00772","isotig05644_Past"
"N0.HOG0002048","N0.HOG0002048","Siderastrea_Mexico_Barshis-Radice_Host_contig13765","GCKDGN101ALDZ8_Past"
"N0.HOG0002050","N0.HOG0002050","Siderastrea_Mexico_Barshis-Radice_Host_contig18964","isotig18694_Past"
"N0.HOG0002051","N0.HOG0002051","Siderastrea_Mexico_Barshis-Radice_Host_contig02956","isotig06119_Past"
"N0.HOG0002052","N0.HOG0002052","Siderastrea_Mexico_Barshis-Radice_Host_contig13542","isotig18246_Past"
"N0.HOG0002054","N0.HOG0002054","Siderastrea_Mexico_Barshis-Radice_Host_contig01422","isotig20973_Past"
"N0.HOG0002056","N0.HOG0002056","Siderastrea_Mexico_Barshis-Radice_Host_contig17475","isotig02564_Past"
"N0.HOG0002058","N0.HOG0002058","Siderastrea_Mexico_Barshis-Radice_Host_contig11614","isotig22218_Past"
"N0.HOG0002060","N0.HOG0002060","Siderastrea_Mexico_Barshis-Radice_Host_contig12495","isotig20003_Past"
"N0.HOG0002062","N0.HOG0002062","Siderastrea_Mexico_Barshis-Radice_Host_contig06125","isotig06332_Past"
"N0.HOG0002063","N0.HOG0002063","Siderastrea_Mexico_Barshis-Radice_Host_contig03576","isotig07713_Past"
"N0.HOG0002064","N0.HOG0002064","Siderastrea_Mexico_Barshis-Radice_Host_contig03570","isotig06316_Past"
"N0.HOG0002065","N0.HOG0002065","Siderastrea_Mexico_Barshis-Radice_Host_contig17518","isotig07317_Past"
"N0.HOG0002066","N0.HOG0002066","Siderastrea_Mexico_Barshis-Radice_Host_contig17512","GCKDGN102EXZON_Past"
"N0.HOG0002068","N0.HOG0002068","Siderastrea_Mexico_Barshis-Radice_Host_contig12143","isotig03761_Past"
"N0.HOG0002071","N0.HOG0002071","Siderastrea_Mexico_Barshis-Radice_Host_contig18222","isotig03631_Past"
"N0.HOG0002073","N0.HOG0002073","Siderastrea_Mexico_Barshis-Radice_Host_contig03144","isotig24930_Past"
"N0.HOG0002076","N0.HOG0002076","Siderastrea_Mexico_Barshis-Radice_Host_contig02760","isotig23802_Past"
"N0.HOG0002077","N0.HOG0002077","Siderastrea_Mexico_Barshis-Radice_Host_contig02767","isotig25968_Past"
"N0.HOG0002078","N0.HOG0002078","Siderastrea_Mexico_Barshis-Radice_Host_contig01520","isotig02276_Past"
"N0.HOG0002079","N0.HOG0002079","Siderastrea_Mexico_Barshis-Radice_Host_contig12968","isotig22531_Past"
"N0.HOG0002086","N0.HOG0002086","Siderastrea_Mexico_Barshis-Radice_Host_contig04082","GCKDGN101BROKN_Past"
"N0.HOG0002088","N0.HOG0002088","Siderastrea_Mexico_Barshis-Radice_Host_contig05687","isotig03419_Past"
"N0.HOG0002091","N0.HOG0002091","Siderastrea_Mexico_Barshis-Radice_Host_contig14720","isotig07062_Past"
